#	module	declaration	line	qa_print_axioms	explicit_hypotheses	real_dependencies	checked_by	verdict
1	Infrastructure	abs_pow_sub_pow_le_nat_mul_abs_sub	64	[propext,Classical.choice,Quot.sound]	0≤θ≤1, 0≤θ'≤1	Mathlib abs_pow_sub_pow_le, pow_le_one₀	U2b (own induction proof), U2b' (fails outside [0,1])	PASS
2	Infrastructure	abs_sub_le_one_of_unit_interval	81	[propext,Classical.choice,Quot.sound]	0≤θ≤1, 0≤θ'≤1	abs_sub_le_iff	U2f	PASS
3	Infrastructure	kpForbiddenRootEnvelope_mono	93	[propext,Classical.choice,Quot.sound]	∀η, ρ η ≤ ρ' η	kpForbiddenRootEnvelope (def), Finset.sum_le_sum	read (termwise; no sign condition needed since exp>0)	PASS
4	Infrastructure	abs_dampedActivityCoreExponent_le_barrier	117	[propext,Classical.choice,Quot.sound]	KP(hβ,mχ,hχabs,hsmall); 0≤θ≤1	abstractKP_of_beta_le_one_div_40000, abstractKP_dampedActivity (52-A), tsum_restricted_sub_full, summable_abs_kpForbiddenUnrootedCoeff (50), tsum_abs_kpForbiddenUnrootedCoeff_le, abs_dampedActivity_le, kpForbiddenRootEnvelope_le_barrierLinkCount	U2a (θ=1 recovers the full-exponent bound)	PASS — new ingredient, κ=1
5	Infrastructure	exp_dampedActivityCoreExponent_le_exp_barrier	159	[propext,Classical.choice,Quot.sound]	same as 4	4, le_abs_self	read	PASS
6	Infrastructure	abs_typedMarkedCoreWeight_mul_exp_damped_le	175	[propext,Classical.choice,Quot.sound]	KP; mf; hCf0; hCf; 0≤θ≤1	abs_typedMarkedCoreWeight_le_mayerCoreMajorant, 5	read (κ=1)	PASS
7	Infrastructure	abs_kpDampedConnectorUnrootedCoeff_sub_le	210	[propext,Classical.choice,Quot.sound]	0≤θ≤1, 0≤θ'≤1	1, tupleTouchCount_le, abs_sum_le_sum_abs	U2c (θ'=1 reduces to the 52-C domination)	PASS
8	Infrastructure	abs_activityDampingConnector_sub_le_eroded	264	[propext,Classical.choice,Quot.sound]	KP; T ∈ typedTouchingFamilies s; hsep; 0≤θ,θ'≤1	walkBarrierSeparated_barrierRegions_sub_familyMass (51-D), summable_kpDampedConnectorUnrootedCoeff (52-C, both parameters), tsum_sub, 7, summable_nat_mul_kpAbsConnector_polymerWeight + tsum_…_le_local_P (52-A0), norm_tsum_le_tsum_norm	U2d (θ'=1 reduces to 52-C; truncation)	PASS
9	Infrastructure	dampedActivityCoreExponent_sub_eq_activityDampingConnector_sub	366	[propext,Classical.choice,Quot.sound]	KP; 0≤θ,θ'≤1	dampedActivityCoreExponent_sub_full_eq_activityDampingConnector (52-C) ×2	U2e (own derivation)	PASS
10	Infrastructure	abs_exp_dampedActivityCoreExponent_sub_le_decay	392	[propext,Classical.choice,Quot.sound]	KP; hT; hsep; 0≤θ,θ'≤1	8, 9, 5, 2, abs_exp_sub_one_le_decay_exp, exp_neg_nat_sub_half_le	U2f (d ≤ 1; κ bookkeeping e^{q'}·e^{2q'})	PASS — κ=3, tilt 1/2
11	Infrastructure	nat_card_mul_abs_dampedNormalizedTerm_le_bridge	478	[propext,Classical.choice,Quot.sound]	KP; mf; hCf0; hCf; T ∈ activityBridgeCores s r; hsep; 0≤θ≤1	activityBridgeCore_familyTotalCard_ge, familyCard_le_familyTotalCard, nat_le_exp_three_eighths, 6, prod_family_massTiltActivity	U2g (retyped; 1/2+3/8=7/8)	PASS — κ=1, tilt 7/8
12	Lipschitz	activityDampedExpectation_sub_eq_two_column_lipschitz_ledger	85	[propext,Classical.choice,Quot.sound]	KP; 0≤θ,θ'≤1 (no hf, no mf, no hCf)	activityDampedExpectation_eq_sum_core_mul_exp (52-B) ×2, sum_touchingFamilies_eq_activityAllowed_add_bridge, pow_touchCount_eq_one_of_mem_activityAllowedCores	U1 (re-derived by the auditor; PLUS sign on bridge column)	PASS
13	Lipschitz	abs_lipschitzConnectorColumnTerm_le	151	[propext,Classical.choice,Quot.sound]	KP; mf; hCf0; hCf; hT; hsep; 0≤θ,θ'≤1	abs_typedMarkedCoreWeight_le_mayerCoreMajorant, 10, dampedPow_nonneg/le_one, halfTiltCoreBudgetTerm_eq	read (θ'^t ≤ 1; κ=3)	PASS
14	Lipschitz	sum_abs_lipschitzConnectorColumn_le	210	[propext,Classical.choice,Quot.sound]	KP; mf; hCf0; hCf; hsep; 0≤θ,θ'≤1	13, sum_halfTilt_three_le (budget (1/2,3))	U3a (consumed in own closure)	PASS
15	Lipschitz	abs_sum_lipschitzConnectorColumn_le	251	[propext,Classical.choice,Quot.sound]	same as 14	14, abs_sum_le_sum_abs	U3a	PASS
16	Lipschitz	abs_pow_touchCount_sub_le_card_mul_abs_sub	276	[propext,Classical.choice,Quot.sound]	0≤θ,θ'≤1	1, touchCount_le_card	read	PASS
17	Lipschitz	abs_lipschitzBridgeColumnTerm_le	292	[propext,Classical.choice,Quot.sound]	KP; mf; hCf0; hCf; T ∈ activityBridgeCores; hsep; 0≤θ,θ'≤1	16, 11	read (κ=1)	PASS
18	Lipschitz	sum_abs_lipschitzBridgeColumn_le	335	[propext,Classical.choice,Quot.sound]	KP; mf; hCf0; hCf; hsep; 0≤θ,θ'≤1	17, filter_subset, sevenEighthsBudgetTerm_nonneg (52-D), sum_sevenEighthsTilt_one_le (budget (7/8,1))	U3a	PASS
19	Lipschitz	abs_sum_lipschitzBridgeColumn_le	387	[propext,Classical.choice,Quot.sound]	same as 18	18, abs_sum_le_sum_abs	U3a	PASS
20	Lipschitz	abs_activityDampedExpectation_sub_activityDampedExpectation_le_two_terms	413	[propext,Classical.choice,Quot.sound]	KP; mf; hCf; hsep; 0≤θ,θ'≤1 (no hf; hCf0 derived)	12, 15, 19, nonneg_of_abs_le_of_config (52-E), abs_add	U3b (retyped with 8D/113, 4D/113)	PASS
21	Lipschitz	abs_activityDampedExpectation_sub_activityDampedExpectation_le_local_exp_decay (CAPSTONE 53)	446	[propext,Classical.choice,Quot.sound]	KP; mf; hCf; hsep; 0≤θ,θ'≤1 (no hf; #check confirms)	20, Nat.cast_nonneg, Real.exp_le_exp	U3a (re-derived without it), U3b/c (symbolic; θ=1/3, θ'=3/4), U4a, U5x/U5y (application failures)	PASS
22	Lipschitz	activityDampedExpectation_sub_self	493	[propext,Classical.choice,Quot.sound]	none	sub_self	trivial	PASS
23	Lipschitz	lipschitz_bound_self	501	[propext,Classical.choice,Quot.sound]	none	sub_self, abs_zero	U4a' — RHS algebra only; the effective θ=θ' test is U4a	PASS
24	Lipschitz	abs_activityDampedExpectation_sub_gibbsExpectation_le_of_damping_one	512	[propext,Classical.choice,Quot.sound]	KP; hf : DependsOnlyOn f s; mf; hCf; hsep; 0≤θ≤1	21 at θ'=1, activityDampedExpectation_one (52-A, needs hf), abs_sub_comm	U4b (own derivation), U5y	PASS
25	Lipschitz	abs_gibbsExpectation_sub_activityDampedExpectation_le_of_lipschitz	536	[propext,Classical.choice,Quot.sound]	same as 24	24, abs_sub_comm	U4b' (same TYPE as the 52-E capstone — statement identity only)	PASS
26	Lipschitz	abs_activityDampedExpectation_sub_activityRestrictedExpectation_le	557	[propext,Classical.choice,Quot.sound]	KP; mf; hCf; hsep; 0≤θ≤1 (no hf)	21 at θ'=0, activityDampedExpectation_zero	U4c (own derivation)	PASS
27	Lipschitz	activityDampedExpectation_sub_activityDampedExpectation_empty_region	579	[propext,Classical.choice,Quot.sound]	none (θ, θ' arbitrary reals)	activityDampedMarkedGas_empty_region, activityDampedPolymerGas_empty_region	U4d (θ=−7, θ'=42), U4d' (own)	PASS
28	Lipschitz	two_column_lipschitz_ledger_empty_region	592	[propext,Classical.choice,Quot.sound]	none	touchCount_empty_region, dampedActivityCoreExponent_empty_region	read	PASS
29	Lipschitz	two_column_lipschitz_ledger_self	613	[propext,Classical.choice,Quot.sound]	none	sub_self	read	PASS
